"seq","5-10","H","Ha","I","Ia","J","Ja","Jb","K","L","M","N","Na","P","Q","Qa"
"c54740e67850b527400a77af33bd3d89",0.0201632694210754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f5a0cba713d42e29e41a6df93519572a",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"a681fb02342fb54c83839d35541047fd",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"245b33b8928a2d472035cfcc336caddb",0.00424489882548956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26cbd70e0eb0b0a14e93c0970b305ef1",0.00291836794252407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82f3d62aabc8caf816ec2120e9c14bb5",0.00185714323615168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d2fd495f50fd9ee1bb779066a74086d7",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"e335570f65a3bc3a849f355ac1698181",0.00530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5c70df4d17fc89bab58a00ca6e9a66e1",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b488a23a21137febe962e32b948e87a9",0.00132653088296549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4d36e0d0050d301d2a3d040d04521b20",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40862b63dd0defe1fb1cbc9991f5f089",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"00e6614407462b417669175bc85184ad",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ee21cf356777ae26fe7089d75452abd7",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"f7d85e5a89d2a972052c5ff23f52397a",0.000530612353186195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"b6659ef305819aabacf82fa333d503b6",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76612bcedbaf761367a3d047ebafd7b6",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3aa84206bcf663e8de0f75e1bb5b2ba6",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3e3e95a36c06e6967322d92057d2f4f7",0.000795918529779292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28e3c3f751b7e166668665449ef80ec9",0.00106122470637239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0674e7934525d446c54c31dc9b8e33d5",0.00636734823823433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
